Country,2022 SDG Index Score,2022 SDG Index Rank,International Spillovers Score (0-100),International Spillovers Rank,Region,SDG1: No Poverty,,SDG2: No Hunger,,SDG3: Good Health and Well-Being,,SDG4: Quality Education,,SDG5: Gender Equality,,SDG6: Clean Water and Sanitation,,SDG7: Affordable and Clean Energy,,SDG8: Decent Work and Economic Growth,,"SDG9: Industry, Innovation and Infrastructure",,SDG10: Reduced Inequalities,,SDG11: Sustainable Cities and Communities,,SDG12: Responsible Consumption and Production,,SDG13: Climate Action,,SDG14: Life Below Water,,SDG15: Life on Land,,"SDG16: Peace, Justice and Strong Institutions",,SDG17: Partnerships for the Goals,
Thailand,74.1,44,86.7,108,East & South Asia,green,↑,red,→,red,➚,yellow,↑,orange,➚,orange,↑,orange,➚,orange,➚,orange,↑,orange,➚,orange,→,orange,↑,orange,→,red,→,red,→,red,→,orange,↓
Russian Federation,74.1,45,85.4,111,E. Europe & C. Asia,green,↑,orange,→,orange,➚,green,↑,orange,➚,orange,➚,red,➚,yellow,➚,orange,➚,orange,→,yellow,➚,orange,➚,red,➚,red,→,red,➚,red,➚,yellow,↑
Moldova,73.9,46,95.5,70,E. Europe & C. Asia,green,↑,orange,→,orange,➚,green,↑,orange,➚,orange,➚,yellow,→,red,➚,orange,→,green,↑,orange,➚,orange,↑,yellow,→,grey,,red,➚,orange,➚,yellow,➚
Costa Rica,73.8,47,80.9,117,OECD,orange,➚,red,➚,orange,➚,red,→,yellow,➚,red,→,green,↑,orange,→,red,➚,red,→,yellow,➚,orange,↑,yellow,➚,red,→,red,→,red,➚,orange,➚
Kyrgyz Republic,73.7,48,96.7,60,E. Europe & C. Asia,yellow,➚,orange,→,orange,➚,yellow,↑,orange,→,orange,↑,yellow,➚,red,➚,orange,➚,yellow,↑,yellow,➚,green,↑,yellow,↑,grey,,red,➚,red,→,yellow,↓
Israel,73.5,49,62.2,145,OECD,orange,↑,red,➚,yellow,➚,orange,→,orange,→,red,↑,orange,➚,orange,➚,yellow,↑,orange,➚,yellow,➚,red,→,red,➚,red,→,red,→,orange,➚,red,➚
Azerbaijan,73.5,50,97.3,52,E. Europe & C. Asia,green,↑,orange,→,red,➚,yellow,➚,red,→,orange,↑,orange,→,red,→,orange,→,green,,yellow,➚,yellow,↑,orange,➚,grey,,red,➚,red,→,orange,➚
Georgia,73.4,51,93.7,85,E. Europe & C. Asia,yellow,↑,orange,→,orange,➚,yellow,↑,orange,➚,yellow,→,green,↑,orange,➚,orange,➚,orange,→,orange,➚,yellow,↑,yellow,↓,red,→,red,→,yellow,➚,orange,➚
Fiji,72.9,52,95.8,69,Oceania,yellow,➚,red,➚,red,→,green,↑,orange,→,orange,➚,red,➚,orange,↑,yellow,➚,orange,,yellow,➚,yellow,↑,green,↑,orange,→,red,→,yellow,➚,orange,→
Brazil,72.8,53,97.8,42,LAC,yellow,→,orange,→,orange,➚,yellow,↑,orange,➚,yellow,↑,green,↑,red,→,orange,➚,red,↓,orange,➚,orange,→,yellow,↑,red,→,red,→,red,➚,yellow,→
Argentina,72.8,54,95.9,68,LAC,yellow,➚,red,➚,orange,→,green,↑,green,↑,orange,,orange,➚,red,→,orange,→,red,↓,orange,➚,orange,→,yellow,↑,red,→,red,→,red,➚,orange,➚
Vietnam,72.8,55,95.3,73,East & South Asia,yellow,↑,orange,➚,red,➚,green,↑,orange,➚,orange,↑,yellow,→,orange,➚,orange,➚,orange,↓,orange,➚,yellow,↑,yellow,➚,red,→,red,→,red,➚,orange,➚
China,72.4,56,94.8,76,East & South Asia,green,↑,yellow,➚,orange,➚,green,,orange,➚,orange,↑,orange,➚,orange,➚,yellow,↑,orange,,orange,➚,yellow,↑,yellow,➚,red,→,red,→,orange,➚,orange,→
North Macedonia,72.3,57,91.6,96,E. Europe & C. Asia,yellow,↑,orange,➚,orange,➚,orange,→,orange,➚,orange,↑,orange,→,orange,↑,orange,→,orange,↑,orange,→,orange,↑,yellow,↓,grey,,orange,➚,orange,➚,yellow,➚
Peru,71.9,58,96.5,62,LAC,yellow,➚,orange,→,red,➚,green,↑,orange,➚,orange,➚,yellow,↑,red,➚,orange,→,red,➚,orange,→,yellow,↑,yellow,↑,red,➚,red,→,red,→,orange,➚
Bosnia and Herzegovina,71.7,59,91.6,95,E. Europe & C. Asia,green,↑,orange,→,orange,➚,orange,↑,orange,➚,orange,→,orange,➚,orange,➚,orange,➚,orange,,red,→,yellow,↑,orange,→,yellow,➚,orange,➚,orange,➚,yellow,↑
Singapore,71.7,60,33.0,163,East & South Asia,green,↑,orange,➚,yellow,➚,green,↑,yellow,➚,red,↑,orange,➚,orange,➚,green,↑,grey,,yellow,➚,red,→,red,↑,red,→,red,↓,orange,➚,red,➚
Albania,71.6,61,93.6,87,E. Europe & C. Asia,yellow,↑,orange,→,orange,➚,yellow,→,orange,➚,orange,↑,yellow,↑,red,➚,orange,➚,orange,→,orange,→,yellow,↑,green,↑,red,→,orange,→,orange,→,yellow,➚
Suriname,71.6,62,96.4,63,LAC,orange,↓,orange,→,red,→,orange,↓,orange,➚,orange,↑,yellow,↑,red,→,orange,➚,grey,,orange,➚,yellow,↑,grey,,yellow,→,red,→,red,➚,yellow,↑
Ecuador,71.5,63,97.2,57,LAC,orange,↓,red,→,red,➚,yellow,➚,yellow,➚,orange,↑,yellow,↑,orange,➚,orange,↑,red,→,yellow,↑,yellow,↑,yellow,↑,orange,➚,red,→,red,→,yellow,→
